,Team,Opponent,GF,GA,Date,xGD,Performance
1349,San Jose Sharks,Buffalo Sabres,3,6,2022-12-04,-1.20,-2.63
1350,Minnesota Wild,Colorado Avalanche,3,6,2022-10-17,-0.18,-2.63
1351,Calgary Flames,Buffalo Sabres,3,6,2022-10-20,-0.29,-2.63
1352,Columbus Blue Jackets,Colorado Avalanche,3,6,2022-11-04,-1.64,-2.63
1353,Detroit Red Wings,Buffalo Sabres,3,6,2022-12-29,-0.73,-2.63
1354,Pittsburgh Penguins,Buffalo Sabres,3,6,2022-11-02,-0.13,-2.63
1355,New Jersey Devils,Washington Capitals,3,6,2022-10-24,0.54,-2.71
1356,Seattle Kraken,Washington Capitals,1,4,2022-12-09,0.23,-2.71
1357,Toronto Maple Leafs,Washington Capitals,2,5,2022-12-17,0.45,-2.71
1358,Winnipeg Jets,Washington Capitals,1,4,2022-12-23,0.18,-2.71
1359,Calgary Flames,Washington Capitals,0,3,2022-11-25,-0.20,-2.71
1360,Nashville Predators,Washington Capitals,0,3,2022-10-29,-0.42,-2.71
1361,Philadelphia Flyers,Washington Capitals,1,4,2022-12-07,-0.65,-2.71
1362,Winnipeg Jets,Washington Capitals,2,5,2022-12-11,0.18,-2.71
1363,Philadelphia Flyers,Pittsburgh Penguins,1,4,2022-11-25,-0.60,-2.76
1364,Arizona Coyotes,Pittsburgh Penguins,1,4,2023-01-08,-1.13,-2.76
1365,Columbus Blue Jackets,Pittsburgh Penguins,3,6,2022-10-22,-1.51,-2.76
1366,Columbus Blue Jackets,Pittsburgh Penguins,1,4,2022-12-06,-1.51,-2.76
1367,Washington Capitals,Pittsburgh Penguins,1,4,2022-11-09,0.05,-2.76
1368,Winnipeg Jets,Pittsburgh Penguins,0,3,2022-11-19,0.23,-2.76
1369,Ottawa Senators,Pittsburgh Penguins,1,4,2023-01-20,-0.39,-2.76
1370,St. Louis Blues,Minnesota Wild,2,5,2022-12-31,-0.74,-2.81
1371,Winnipeg Jets,Minnesota Wild,1,4,2022-12-27,0.28,-2.81
1372,Vancouver Canucks,Minnesota Wild,0,3,2022-12-10,-0.72,-2.81
1373,Anaheim Ducks,Minnesota Wild,1,4,2022-12-21,-1.74,-2.81
1374,Detroit Red Wings,Minnesota Wild,1,4,2022-12-14,-0.55,-2.81
1375,Chicago Blackhawks,Minnesota Wild,1,4,2022-12-16,-1.36,-2.81
1376,Anaheim Ducks,Minnesota Wild,1,4,2022-11-09,-1.74,-2.81
1377,Montréal Canadiens,Minnesota Wild,1,4,2022-11-01,-1.25,-2.81
1378,Arizona Coyotes,Vegas Golden Knights,1,4,2022-11-17,-1.07,-2.82
1379,Ottawa Senators,Vegas Golden Knights,1,4,2022-11-23,-0.33,-2.82
1380,Seattle Kraken,Vegas Golden Knights,2,5,2022-10-15,0.33,-2.82
1381,Buffalo Sabres,Vegas Golden Knights,4,7,2022-11-10,0.20,-2.82
1382,Detroit Red Wings,Vegas Golden Knights,1,4,2022-12-03,-0.53,-2.82
1383,Arizona Coyotes,Vegas Golden Knights,2,5,2022-12-21,-1.07,-2.82
1384,Pittsburgh Penguins,Vegas Golden Knights,2,5,2023-01-05,0.06,-2.82
1385,Winnipeg Jets,Vegas Golden Knights,2,5,2022-10-20,0.29,-2.82
1386,Chicago Blackhawks,Vegas Golden Knights,1,4,2022-12-15,-1.35,-2.82
1387,Arizona Coyotes,San Jose Sharks,2,4,2023-01-10,-0.06,-2.82
1388,Pittsburgh Penguins,San Jose Sharks,4,6,2023-01-28,1.07,-2.82
1389,Dallas Stars,San Jose Sharks,3,5,2023-01-18,1.58,-2.82
1390,Florida Panthers,Arizona Coyotes,1,3,2022-11-01,0.90,-2.89
1391,New York Islanders,Arizona Coyotes,0,2,2022-11-10,0.98,-2.89
1392,Toronto Maple Leafs,Arizona Coyotes,2,4,2022-10-17,1.63,-2.89
1393,Pittsburgh Penguins,Calgary Flames,1,4,2022-10-25,0.16,-2.91
1394,Washington Capitals,Calgary Flames,2,5,2022-12-03,0.20,-2.91
1395,Vegas Golden Knights,New York Islanders,2,5,2022-12-17,0.09,-2.91
1396,Seattle Kraken,Calgary Flames,2,5,2023-01-27,0.43,-2.91
1397,Tampa Bay Lightning,Calgary Flames,3,6,2023-01-21,0.59,-2.91
1398,Chicago Blackhawks,New York Islanders,0,3,2022-12-04,-1.26,-2.91
1399,San Jose Sharks,New York Islanders,2,5,2022-10-18,-0.92,-2.91
1400,San Jose Sharks,Calgary Flames,2,5,2022-12-18,-0.91,-2.91
1401,Philadelphia Flyers,New York Islanders,2,5,2022-11-26,-0.45,-2.91
1402,New York Rangers,New York Islanders,0,3,2022-10-26,0.44,-2.91
1403,New York Islanders,Calgary Flames,1,4,2023-01-06,0.01,-2.91
1404,St. Louis Blues,Calgary Flames,1,4,2023-01-12,-0.63,-2.91
1405,Edmonton Oilers,New York Islanders,0,3,2022-11-23,0.34,-2.91
1406,Philadelphia Flyers,Calgary Flames,2,5,2022-11-21,-0.44,-2.91
1407,St. Louis Blues,New York Islanders,2,5,2022-11-03,-0.64,-2.91
1408,Carolina Hurricanes,Florida Panthers,0,3,2022-11-09,0.68,-2.99
1409,Washington Capitals,Florida Panthers,2,5,2022-11-15,0.28,-2.99
1410,Boston Bruins,Florida Panthers,2,5,2022-11-23,1.52,-2.99
1411,Buffalo Sabres,Florida Panthers,1,4,2023-01-16,0.37,-2.99
1412,Columbus Blue Jackets,Montréal Canadiens,1,3,2022-11-23,-0.21,-3.06
1413,Seattle Kraken,Montréal Canadiens,2,4,2022-12-06,1.57,-3.06
1414,Ottawa Senators,Nashville Predators,0,3,2023-01-09,-0.02,-3.13
1415,Montréal Canadiens,Nashville Predators,3,6,2023-01-03,-0.93,-3.13
1416,San Jose Sharks,Nashville Predators,1,4,2022-10-07,-0.70,-3.13
1417,Calgary Flames,Nashville Predators,1,4,2022-11-03,0.21,-3.13
1418,New York Islanders,Nashville Predators,1,4,2022-12-02,0.22,-3.13
1419,Buffalo Sabres,Ottawa Senators,1,4,2022-11-16,0.52,-3.15
1420,San Jose Sharks,Ottawa Senators,2,5,2022-12-03,-0.68,-3.15
1421,Washington Capitals,Ottawa Senators,2,5,2022-10-20,0.44,-3.15
1422,Anaheim Ducks,Ottawa Senators,0,3,2022-12-12,-1.40,-3.15
1423,Detroit Red Wings,Ottawa Senators,3,6,2022-12-17,-0.21,-3.15
1424,Philadelphia Flyers,Ottawa Senators,1,4,2022-11-12,-0.21,-3.15
1425,Ottawa Senators,Los Angeles Kings,2,5,2022-12-06,0.01,-3.16
1426,San Jose Sharks,Los Angeles Kings,2,5,2022-11-25,-0.66,-3.16
1427,Edmonton Oilers,Los Angeles Kings,3,6,2023-01-09,0.60,-3.16
1428,Anaheim Ducks,Los Angeles Kings,1,4,2022-12-20,-1.38,-3.16
1429,Montréal Canadiens,New Jersey Devils,1,5,2022-11-15,-1.89,-3.17
1430,St. Louis Blues,Chicago Blackhawks,3,5,2023-01-21,0.62,-3.17
1431,Ottawa Senators,New Jersey Devils,1,5,2022-11-19,-0.97,-3.17
1432,Anaheim Ducks,New Jersey Devils,2,6,2023-01-13,-2.37,-3.17
1433,Detroit Red Wings,New Jersey Devils,1,5,2023-01-04,-1.18,-3.17
1434,Detroit Red Wings,New Jersey Devils,2,6,2022-10-25,-1.18,-3.17
1435,Florida Panthers,Chicago Blackhawks,2,4,2022-10-25,1.18,-3.17
1436,Washington Capitals,New Jersey Devils,1,5,2022-11-26,-0.54,-3.17
1437,Arizona Coyotes,Chicago Blackhawks,0,2,2023-01-06,0.28,-3.17
1438,Arizona Coyotes,Dallas Stars,0,4,2023-01-21,-1.64,-3.24
1439,Florida Panthers,Dallas Stars,1,5,2023-01-08,-0.75,-3.24
1440,Nashville Predators,Dallas Stars,1,5,2022-10-15,-0.88,-3.24
1441,Los Angeles Kings,Dallas Stars,0,4,2023-01-19,-0.92,-3.24
1442,Edmonton Oilers,Dallas Stars,2,6,2022-11-05,-0.32,-3.24
1443,Philadelphia Flyers,Dallas Stars,1,5,2022-11-13,-1.11,-3.24
1444,Vegas Golden Knights,Dallas Stars,0,4,2023-01-16,-0.58,-3.24
1445,Philadelphia Flyers,Toronto Maple Leafs,2,6,2023-01-08,-1.10,-3.26
1446,Colorado Avalanche,Toronto Maple Leafs,2,6,2022-12-31,-0.37,-3.26
1447,Washington Capitals,Toronto Maple Leafs,1,5,2023-01-29,-0.45,-3.26
1448,Dallas Stars,Toronto Maple Leafs,0,4,2022-12-06,0.01,-3.26
1449,Calgary Flames,Columbus Blue Jackets,1,3,2022-12-09,1.35,-3.27
1450,Montréal Canadiens,Columbus Blue Jackets,4,6,2022-11-17,0.21,-3.27
1451,Nashville Predators,Columbus Blue Jackets,3,5,2022-10-20,1.14,-3.27
1452,San Jose Sharks,Columbus Blue Jackets,3,5,2023-01-21,0.44,-3.27
1453,Florida Panthers,Columbus Blue Jackets,3,5,2022-11-20,1.28,-3.27
1454,Columbus Blue Jackets,Carolina Hurricanes,2,6,2023-01-12,-1.95,-3.31
1455,Florida Panthers,Carolina Hurricanes,0,4,2022-12-30,-0.68,-3.31
1456,Seattle Kraken,Carolina Hurricanes,1,5,2022-10-17,-0.17,-3.31
1457,Seattle Kraken,Tampa Bay Lightning,2,6,2022-12-13,-0.16,-3.32
1458,Montréal Canadiens,Tampa Bay Lightning,1,5,2022-12-17,-1.74,-3.32
1459,New York Islanders,Detroit Red Wings,0,3,2022-11-05,0.45,-3.35
1460,San Jose Sharks,Detroit Red Wings,4,7,2022-11-17,-0.47,-3.35
1461,Toronto Maple Leafs,Detroit Red Wings,1,4,2023-01-12,1.09,-3.35
1462,New Jersey Devils,Detroit Red Wings,2,5,2022-10-15,1.18,-3.35
1463,Nashville Predators,Detroit Red Wings,0,3,2022-11-23,0.22,-3.35
1464,Tampa Bay Lightning,Detroit Red Wings,4,7,2022-12-21,1.03,-3.35
1465,Montréal Canadiens,Detroit Red Wings,0,3,2022-10-14,-0.71,-3.35
1466,New Jersey Devils,Philadelphia Flyers,2,5,2022-10-13,1.18,-3.36
1467,Anaheim Ducks,Philadelphia Flyers,2,5,2023-01-17,-1.19,-3.36
1468,Anaheim Ducks,Philadelphia Flyers,1,4,2023-01-02,-1.19,-3.36
1469,Florida Panthers,New York Rangers,2,6,2023-01-23,-0.53,-3.46
1470,Vegas Golden Knights,New York Rangers,1,5,2022-12-07,-0.36,-3.46
1471,Minnesota Wild,New York Rangers,3,7,2022-10-13,-0.34,-3.46
1472,Chicago Blackhawks,Boston Bruins,1,6,2022-11-19,-2.70,-3.47
1473,Buffalo Sabres,Seattle Kraken,1,5,2022-10-25,-0.14,-3.49
1474,Toronto Maple Leafs,Seattle Kraken,1,5,2023-01-05,0.23,-3.49
1475,Nashville Predators,Seattle Kraken,1,5,2022-11-08,-0.64,-3.49
1476,Ottawa Senators,Seattle Kraken,4,8,2023-01-07,-0.66,-3.49
1477,Montréal Canadiens,Seattle Kraken,0,4,2023-01-09,-1.57,-3.49
1478,Minnesota Wild,Seattle Kraken,0,4,2022-11-03,-0.32,-3.49
1479,Chicago Blackhawks,Vancouver Canucks,2,5,2023-01-24,-0.64,-3.53
1480,Chicago Blackhawks,Winnipeg Jets,0,4,2022-11-05,-1.64,-3.53
1481,Anaheim Ducks,Vancouver Canucks,5,8,2022-11-03,-1.01,-3.53
1482,Ottawa Senators,Winnipeg Jets,1,5,2022-12-20,-0.62,-3.53
1483,Columbus Blue Jackets,Vancouver Canucks,2,5,2023-01-27,-0.74,-3.53
1484,Edmonton Oilers,Vancouver Canucks,2,5,2022-12-23,0.97,-3.53
1485,Los Angeles Kings,Vancouver Canucks,1,4,2022-11-18,0.37,-3.53
1486,St. Louis Blues,Winnipeg Jets,0,4,2022-10-24,-1.02,-3.53
1487,Vancouver Canucks,Winnipeg Jets,1,5,2022-12-17,-1.00,-3.53
1488,Ottawa Senators,Winnipeg Jets,1,5,2023-01-21,-0.62,-3.53
1489,Dallas Stars,Winnipeg Jets,1,5,2022-11-08,0.28,-3.53
1490,Chicago Blackhawks,St. Louis Blues,2,5,2022-11-16,-0.62,-3.54
1491,Columbus Blue Jackets,Anaheim Ducks,3,5,2023-01-19,0.28,-3.54
1492,Nashville Predators,St. Louis Blues,2,5,2023-01-19,0.42,-3.54
1493,Dallas Stars,Anaheim Ducks,0,2,2023-01-04,2.30,-3.54
1494,Columbus Blue Jackets,St. Louis Blues,2,5,2022-10-15,-0.72,-3.54
1495,Colorado Avalanche,Anaheim Ducks,3,5,2023-01-26,1.92,-3.54
1496,New York Islanders,St. Louis Blues,4,7,2022-12-06,0.64,-3.54
1497,Minnesota Wild,St. Louis Blues,0,3,2023-01-08,0.74,-3.54
1498,Calgary Flames,St. Louis Blues,2,5,2022-12-16,0.63,-3.54
1499,Chicago Blackhawks,Edmonton Oilers,3,7,2023-01-28,-1.60,-3.56
1500,Anaheim Ducks,Edmonton Oilers,2,6,2023-01-11,-1.98,-3.56
1501,Columbus Blue Jackets,Colorado Avalanche,1,5,2022-11-05,-1.64,-3.63
1502,St. Louis Blues,Buffalo Sabres,2,6,2022-11-23,-0.92,-3.63
1503,Vancouver Canucks,Buffalo Sabres,1,5,2022-10-22,-0.91,-3.63
1504,Washington Capitals,Colorado Avalanche,0,4,2022-11-19,-0.08,-3.63
1505,New York Rangers,Washington Capitals,0,4,2022-12-27,0.25,-3.71
1506,Vancouver Canucks,Washington Capitals,1,5,2022-11-29,-0.82,-3.71
1507,Chicago Blackhawks,Washington Capitals,3,7,2022-12-13,-1.46,-3.71
1508,Tampa Bay Lightning,Washington Capitals,1,5,2022-11-11,0.39,-3.71
1509,Arizona Coyotes,Washington Capitals,0,4,2023-01-19,-1.18,-3.71
1510,Columbus Blue Jackets,Washington Capitals,2,6,2023-01-05,-1.56,-3.71
1511,Tampa Bay Lightning,Pittsburgh Penguins,2,6,2022-10-15,0.44,-3.76
1512,St. Louis Blues,Pittsburgh Penguins,2,6,2022-12-03,-0.79,-3.76
1513,Arizona Coyotes,Pittsburgh Penguins,2,6,2022-10-13,-1.13,-3.76
1514,Tampa Bay Lightning,Minnesota Wild,1,5,2023-01-04,0.49,-3.81
1515,Washington Capitals,Vegas Golden Knights,2,6,2023-01-21,0.11,-3.82
1516,Anaheim Ducks,Vegas Golden Knights,0,4,2022-10-28,-1.72,-3.82
1517,Minnesota Wild,San Jose Sharks,2,5,2022-12-22,1.02,-3.82
1518,Philadelphia Flyers,San Jose Sharks,0,3,2022-10-23,0.47,-3.82
1519,Vegas Golden Knights,San Jose Sharks,2,5,2022-11-15,1.00,-3.82
1520,Chicago Blackhawks,San Jose Sharks,2,5,2023-01-01,-0.34,-3.82
1521,Toronto Maple Leafs,Arizona Coyotes,3,6,2022-12-29,1.63,-3.89
1522,Columbus Blue Jackets,Arizona Coyotes,3,6,2022-10-25,-0.38,-3.89
1523,Buffalo Sabres,Arizona Coyotes,1,4,2022-11-08,1.26,-3.89
1524,Vegas Golden Knights,Arizona Coyotes,1,4,2023-01-22,1.07,-3.89
1525,Colorado Avalanche,Arizona Coyotes,3,6,2022-12-27,1.26,-3.89
1526,San Jose Sharks,Calgary Flames,3,7,2022-12-20,-0.91,-3.91
1527,Carolina Hurricanes,New York Islanders,2,6,2022-10-28,0.59,-3.91
1528,Vancouver Canucks,New York Islanders,2,6,2023-01-03,-0.63,-3.91
1529,Florida Panthers,New York Islanders,1,5,2022-12-23,-0.09,-3.91
1530,Pittsburgh Penguins,New York Islanders,1,5,2022-12-27,0.15,-3.91
1531,Florida Panthers,Calgary Flames,2,6,2022-11-29,-0.08,-3.91
1532,Montréal Canadiens,Florida Panthers,2,6,2023-01-19,-1.07,-3.99
1533,Seattle Kraken,Florida Panthers,1,5,2022-12-03,0.51,-3.99
1534,Columbus Blue Jackets,Florida Panthers,0,4,2022-12-13,-1.28,-3.99
1535,Detroit Red Wings,Florida Panthers,1,5,2022-12-08,-0.36,-3.99
1536,Vancouver Canucks,Florida Panthers,1,5,2022-12-01,-0.54,-3.99
1537,Vancouver Canucks,Montréal Canadiens,2,5,2022-11-09,0.53,-4.06
1538,St. Louis Blues,Montréal Canadiens,4,7,2022-10-29,0.52,-4.06
1539,Winnipeg Jets,Montréal Canadiens,1,4,2023-01-17,1.53,-4.06
1540,St. Louis Blues,Nashville Predators,2,6,2022-10-27,-0.42,-4.13
1541,Arizona Coyotes,Ottawa Senators,2,6,2022-10-22,-0.74,-4.15
1542,Toronto Maple Leafs,Ottawa Senators,2,6,2023-01-27,0.89,-4.15
1543,Columbus Blue Jackets,Ottawa Senators,0,4,2023-01-03,-1.12,-4.15
1544,Anaheim Ducks,Ottawa Senators,1,5,2022-11-25,-1.40,-4.15
1545,Vegas Golden Knights,Los Angeles Kings,1,5,2023-01-07,0.34,-4.16
1546,St. Louis Blues,Los Angeles Kings,1,5,2022-10-31,-0.38,-4.16
1547,New York Rangers,Chicago Blackhawks,2,5,2022-12-03,1.70,-4.17
1548,Philadelphia Flyers,Chicago Blackhawks,1,4,2023-01-19,0.81,-4.17
1549,San Jose Sharks,Chicago Blackhawks,2,5,2022-10-15,0.34,-4.17
1550,Columbus Blue Jackets,Chicago Blackhawks,2,5,2022-12-23,-0.10,-4.17
1551,Arizona Coyotes,Dallas Stars,2,7,2022-11-03,-1.64,-4.24
1552,Anaheim Ducks,Dallas Stars,0,5,2022-12-01,-2.30,-4.24
1553,Los Angeles Kings,Toronto Maple Leafs,0,5,2022-12-08,-0.90,-4.26
1554,Chicago Blackhawks,Columbus Blue Jackets,1,4,2022-12-31,0.10,-4.27
1555,Winnipeg Jets,Columbus Blue Jackets,1,4,2022-12-02,1.74,-4.27
1556,Philadelphia Flyers,Columbus Blue Jackets,2,5,2022-11-10,0.91,-4.27
1557,Edmonton Oilers,Carolina Hurricanes,2,7,2022-11-10,-0.25,-4.31
1558,Anaheim Ducks,Detroit Red Wings,1,5,2022-10-23,-1.19,-4.35
1559,Arizona Coyotes,Philadelphia Flyers,2,6,2023-01-05,-0.53,-4.36
1560,Winnipeg Jets,Philadelphia Flyers,0,4,2023-01-28,0.83,-4.36
1561,St. Louis Blues,Philadelphia Flyers,1,5,2022-11-08,-0.19,-4.36
1562,Buffalo Sabres,Philadelphia Flyers,0,4,2023-01-09,0.73,-4.36
1563,Anaheim Ducks,Boston Bruins,1,7,2023-01-08,-3.07,-4.47
1564,Philadelphia Flyers,Boston Bruins,0,6,2023-01-16,-1.89,-4.47
1565,Vancouver Canucks,Seattle Kraken,1,6,2023-01-25,-1.05,-4.49
1566,Colorado Avalanche,Winnipeg Jets,0,5,2022-11-29,-0.10,-4.53
1567,Chicago Blackhawks,Winnipeg Jets,2,7,2022-11-27,-1.64,-4.53
1568,San Jose Sharks,Vancouver Canucks,2,6,2022-12-27,-0.29,-4.53
1569,Pittsburgh Penguins,Vancouver Canucks,1,5,2022-10-28,0.77,-4.53
1570,Vegas Golden Knights,Vancouver Canucks,1,5,2022-11-26,0.71,-4.53
1571,Anaheim Ducks,St. Louis Blues,2,6,2022-11-19,-1.00,-4.54
1572,Vancouver Canucks,St. Louis Blues,1,5,2022-12-19,0.01,-4.54
1573,Arizona Coyotes,Anaheim Ducks,2,5,2023-01-24,0.66,-4.54
1574,Montréal Canadiens,Anaheim Ducks,2,5,2022-12-15,0.48,-4.54
1575,Seattle Kraken,Edmonton Oilers,2,7,2022-12-30,0.08,-4.56
1576,Montréal Canadiens,Buffalo Sabres,2,7,2022-11-22,-1.43,-4.63
1577,Detroit Red Wings,Buffalo Sabres,3,8,2022-10-31,-0.73,-4.63
1578,Columbus Blue Jackets,Buffalo Sabres,4,9,2022-12-07,-1.64,-4.63
1579,Los Angeles Kings,Pittsburgh Penguins,1,6,2022-10-20,-0.40,-4.76
1580,Winnipeg Jets,Minnesota Wild,1,6,2022-11-23,0.28,-4.81
1581,Ottawa Senators,San Jose Sharks,1,5,2022-11-21,0.68,-4.82
1582,Montréal Canadiens,San Jose Sharks,0,4,2022-11-29,-0.24,-4.82
1583,Carolina Hurricanes,Arizona Coyotes,0,4,2022-11-23,1.57,-4.89
1584,Montréal Canadiens,Florida Panthers,2,7,2022-12-29,-1.07,-4.99
1585,Arizona Coyotes,Montréal Canadiens,2,6,2022-10-20,0.17,-5.06
1586,Anaheim Ducks,Nashville Predators,1,6,2022-12-30,-1.42,-5.13
1587,Montréal Canadiens,Ottawa Senators,0,5,2023-01-28,-0.91,-5.15
1588,Columbus Blue Jackets,New Jersey Devils,1,7,2022-10-30,-2.09,-5.17
1589,Calgary Flames,Chicago Blackhawks,1,5,2023-01-26,1.25,-5.17
1590,New York Rangers,Columbus Blue Jackets,1,5,2022-10-23,1.80,-5.27
1591,Columbus Blue Jackets,Detroit Red Wings,1,6,2022-11-19,-0.92,-5.35
1592,Chicago Blackhawks,New York Rangers,1,7,2022-12-18,-1.70,-5.46
1593,Detroit Red Wings,New York Rangers,2,8,2022-11-10,-0.89,-5.46
1594,San Jose Sharks,Edmonton Oilers,1,7,2023-01-13,-1.26,-5.56
1595,Arizona Coyotes,Edmonton Oilers,2,8,2022-12-07,-1.33,-5.56
1596,Los Angeles Kings,Buffalo Sabres,0,6,2022-12-13,-0.54,-5.63
1597,Anaheim Ducks,San Jose Sharks,1,6,2022-12-09,-0.72,-5.82
1598,St. Louis Blues,Arizona Coyotes,0,5,2023-01-26,0.34,-5.89
1599,Anaheim Ducks,New York Islanders,1,7,2022-10-15,-1.64,-5.91
1600,Anaheim Ducks,Toronto Maple Leafs,0,7,2022-12-13,-2.29,-6.26
1601,Ottawa Senators,Colorado Avalanche,0,7,2023-01-14,-0.52,-6.63
1602,Montréal Canadiens,Washington Capitals,2,9,2022-12-31,-1.35,-6.71
